# d6-m1 — Governance, Risk, and Responsible Use, multiple-response
confidentiality|3|2|An associate is staffed on two accounts whose owners compete directly with each other.|Keep each client's material in its own separate Project|Make cross-contamination structurally impossible|Use one Project and take care not to mix the two|Use one Project, since the associate knows both anyway|Use one Project and delete each client's files after|Separation by structure removes the possibility of mixing, where care has to be exercised correctly on every single interaction.|Care is exactly what fails under pressure, personal knowledge is not the risk being managed, and deleting afterwards does not prevent mixing during the work.
confidentiality|4|2|A consultant wants to teach from a past engagement with the client's name taken out.|Check whether the scenario stays recognisable once anonymised|Recognise name removal as not being the whole test|Use it, since the client's name has already been removed|Do not use it, since client work can never be reused|Use it and inform the client after the session has run|Anonymisation succeeds only when the underlying situation stops pointing at one client, and distinctive scenarios frequently still do.|Refusing all reuse discards legitimate learning, and informing afterwards comes after the disclosure has happened.
consequential-decisions|2|2|A recruiter proposes letting the model issue rejection decisions without anyone seeing them.|No, because the decision needs an accountable person|The effect on the individual is what triggers oversight|Yes, provided the criteria are documented in advance|Yes, provided rejected applicants can request a review|Yes, provided the model is checked for bias first|A rejection materially affects a person, so the decision has to rest with someone who can be held to it regardless of what safeguards surround it.|Documented criteria, appeal routes and bias checks are all worth having, but none of them puts a person inside the decision.
consequential-decisions|3|2|A council wants explanation letters drafted for housing decisions its officers have made.|Fine, provided the caseworker checks each letter|The judgement was made before any drafting began|Fine, since the decision was already made beforehand|Not fine, since benefits decisions affect vulnerable people|Fine, provided a weekly sample of letters is checked|Drafting after a human decision is assistance, and the per-letter check is what keeps the explanation faithful to the decision that was actually made.|A prior decision does not guarantee the letter describes it, vulnerability argues for care rather than refusal, and sampling leaves unchecked letters reaching claimants.
consequential-decisions|4|2|A hardship fund receives more applications than it can support and wants help sorting them.|Use it to organise the applications for the panel|Keep the ranking by need with the panel itself|Use it to rank applicants for the panel to confirm|Decline, since need cannot be assessed with a tool|Use it to screen out the ineligible and rank the rest|Organising material helps a panel see it, while ranking by need is the judgement the panel exists to make, which is why the two are separated.|Confirming a ranking anchors the panel to it, refusing all help wastes capacity, and screening plus ranking is the same delegation in two steps.
accountability|2|2|A drafted invoice note goes out with a wrong figure and the customer queries it at once.|The associate is responsible, since they sent it|Responsibility follows from the decision to send|Responsibility is shared between the associate and the tool|The tool is responsible, since it produced the wrong text|Nobody is at fault, since the error was not intended|Accountability attaches to the human act of sending, which is what makes it the associate's regardless of what drafted the text.|A tool cannot bear responsibility, sharing it with a tool is the same error stated softly, and lack of intent does not remove accountability.
accountability|3|2|A regulator may later ask how a particular assessment was arrived at, and by whom.|Record the inputs, the output and who approved it|Capture what would let someone reconstruct the decision|Record the full conversation so that nothing is missing|Record the final decision, since that is what was acted on|Record the prompt, since it determined what came back|An audit needs to see what went in, what came out and who took responsibility, because those three together make the decision reconstructible.|A full transcript buries the accountable facts, the decision alone loses its basis, and the prompt omits both the output and the approval.
accountability|4|2|An associate uses the team's signed-off prompt and it fails in a way nobody had foreseen.|The associate remains answerable for what they sent|The team revises the prompt to absorb the new failure|The associate is blameless, since the process was followed|The team alone is at fault for approving that prompt|Nobody is at fault, since it could not be anticipated|Following an approved process does not remove the duty to check what goes out, and an unanticipated failure is information the process should absorb.|Compliance is not verification, blaming the approvers ignores the sender's check, and novelty is not an excuse that fixes anything.
bias-fairness|2|2|A drafted recruitment post leans on language that tends to attract one kind of applicant.|Rewrite the advert around what the role requires|Treat the wording as something to fix before posting|Publish it, since the wording came from the role description|Publish it and monitor who applies over the first month|Ask for a version that appeals to more people generally|An advert should describe the role's requirements, and returning to those is what removes wording that filters applicants before they apply.|A source description does not launder the wording, monitoring measures harm after it occurs, and broadening appeal changes framing without fixing the criteria.
bias-fairness|3|2|A team strips a protected field from their screening data and the outcomes stay identical.|Look for fields that stand in for the removed one|Recognise that absence of a field is not absence of signal|Conclude the process is fair, since gender is not used|Remove more fields until the composition finally changes|Conclude the pattern simply reflects the applicant pool|An unchanged outcome suggests other fields carry the same information, and finding those proxies is what actually tests the process.|Removing fields until the numbers move engineers an outcome, and a pool explanation is possible but entirely untested.
disclosure-transparency|3|2|A team is about to publish an externally facing analysis that Claude very largely drafted.|Disclose where readers would reasonably expect to know|Judge it by whether the method changes how it is weighed|Say nothing, since the team reviewed and approved it|Disclose it only if a reader asks how it was produced|Disclose it on every document the team ever produces|Disclosure is owed where the method would change how a reader weighs the work, which is the test rather than a blanket rule in either direction.|Review makes content accountable but not the method visible, disclosure on request shifts the burden, and a universal statement buries the cases that matter.
