# d7-08 — troubleshooting: limits versus refusals, trade-offs and maintenance
refusals-and-limits|3|An associate needs an answer the model can only partly support and the deadline is today.|Send what is supported and say what part is not|Send the whole answer and verify it afterwards|Send nothing until the whole answer is supported|Send the whole answer with a general disclaimer|Distinguishing the supported part from the unsupported one gives the recipient something usable and an accurate picture of its limits.|Verifying after sending leaves the reader exposed in the meantime, withholding everything discards usable work, and a general disclaimer does not say which part is weak.
prompt-repair|3|A prompt tells the model what not to do and the output still does it occasionally.|State what to do instead of the thing forbidden|Repeat the prohibition twice within the prompt|Make the prohibition considerably more strongly worded|Remove the prohibition, since it is not working|A prohibition leaves the alternative unspecified, and naming what should happen instead gives the model something to do.|Repetition and stronger wording restate the same negative, and removing it gives up without offering any replacement.
diagnosing-poor-output|3|An associate has an output they are unsure about and no source to check it against.|Identify what would have to be true for it to hold|Run the same prompt again and compare the answers|Ask the model to justify its answer more fully|Accept it, since no check is available to be made|Naming the answer's dependencies turns an unverifiable whole into specific claims that can each be pursued.|A second run tests stability rather than truth, a fuller justification is more of the same output, and accepting it because checking is hard is how errors travel.
efficiency-tuning|3|A team wants to reduce the number of prompts in a workflow without losing any checks.|Merge the work steps and keep the checks separate|Merge everything, including the checking steps|Keep every step, since each has its own purpose|Remove the checks that have never found anything|Work steps can share a pass while a check needs its own, since a pass that grades itself is not a check.|Merging the checks in removes their independence, keeping everything forgoes the saving, and a check that has found nothing may be preventing failures.
consistency-issues|3|Two people write prompts for the same task and get outputs neither of them can compare.|Agree the output's format before either writes a prompt|Have one person write both of the prompts instead|Compare the outputs and pick whichever looks better|Standardise the wording of the two prompts themselves|Comparability comes from a shared output shape, and agreeing that first is what makes two different approaches measurable against each other.|One author removes the comparison, picking the better-looking output judges without a standard, and matching prompt wording removes the difference being tested.
context-problems|3|An associate's question depends on information they gave three days ago in another conversation.|Restate the information in the current conversation|Ask the model to recall the earlier conversation|Link the earlier conversation in the new prompt|Continue the earlier conversation rather than a new one|Conversations do not share context, so information the question needs now has to be present now.|There is nothing to recall across conversations, a link is not something the model can follow, and reviving an old conversation carries its accumulated length as well.
prompt-repair|3|A team's prompt is being used for a task slightly different from the one it was written for.|Fork it rather than bend the original to cover both|Extend the original so that it handles both tasks|Use the original as it is and edit the outputs|Write a wholly new prompt for the second task|A forked copy keeps each prompt focused on its own task while preserving the work already proven in the original.|Extending it makes one prompt serve two masters, editing outputs repeats the cost, and starting from scratch discards what already works.
refusals-and-limits|4|An associate wants to know how to tell a capability limit from a policy refusal.|A limit says it cannot, a refusal says it will not|A limit is permanent and a refusal is temporary|A refusal explains itself and a limit does not|There is no useful difference between the two|The distinction matters because a limit is worked around by supplying what is missing, while a refusal is not addressed by rewording it.|Permanence does not separate them, explanations accompany both, and collapsing the distinction leads to the wrong response in each case.
diagnosing-poor-output|4|A team's outputs score well on every measure they check and users still complain.|Ask users what they are judging that the measures miss|Add more measures until the complaints are explained|Tell users what the measures show about the quality|Treat the complaints as unrepresentative of most users|A gap between measures and satisfaction means the measures are missing something users care about, and only users can say what that is.|More measures chosen internally repeat the blind spot, telling users the numbers argues with their experience, and dismissing them assumes the answer.
efficiency-tuning|4|A prompt runs faster after a team removes its examples, and quality drops only on rare inputs.|Decide whether those rare inputs are ones they care about|Keep the faster version, since most inputs are fine|Restore the examples, since quality dropped at all|Keep both versions and choose per input as it arrives|The trade is speed against the rare cases, so what those cases cost when they go wrong is what decides it.|Majority performance ignores the tail, treating any drop as unacceptable over-pays where the tail is harmless, and per-input choosing needs the judgement being avoided.
consistency-issues|4|A team standardises on one prompt and two people say their own version worked better.|Test all three on the same inputs before standardising|Standardise anyway, since consistency is the goal|Let each person keep whichever version they prefer|Merge the three versions into one combined prompt|Three candidate prompts and a shared test set is exactly the situation a comparison settles, and standardising first discards possible improvements.|Standardising first assumes the chosen prompt is best, letting everyone differ abandons the goal, and merging combines three approaches without testing any of them.
context-problems|4|An associate can either put reference material in a Project or paste it into each prompt.|Project for material reused across questions, prompt for the rest|Always use the Project, since it avoids repeated pasting|Always paste it, since the model then certainly sees it|Do both so the material is available either way|A Project retrieves what a question needs from a shared body, while pasting guarantees that one specific item is present for one specific question.|Always using the Project relies on retrieval for material that must be present, always pasting repeats work for shared material, and doing both duplicates content that then competes.
diagnosing-poor-output|4|A team's output quality drops after they switch to a shorter, cleaner version of their prompt.|Find what the removed text was doing before restoring it|Restore the old prompt and keep it exactly as it was|Keep the shorter prompt and accept the lower quality|Shorten it further, since the direction seemed right|Something in the removed text was earning its place, and identifying it is what lets the prompt stay clean while recovering the quality.|A wholesale revert loses the clean-up, accepting lower quality gives up the reason for the change, and shortening further compounds an unexamined loss.
refusals-and-limits|4|A model completes a task but notes that it is outside what it can do reliably.|Treat the note as a reason to check the output closely|Discard the output, since the model has disclaimed it|Use the output, since the model completed the task|Ask the model whether the note was really necessary|A reliability note tells you where the risk is concentrated, which is guidance about how much checking the output needs.|Discarding it wastes work that may be correct, using it unchecked ignores a specific warning, and asking the model to reconsider its caveat invites it to withdraw useful information.
efficiency-tuning|4|A team must justify the time they spend maintaining prompts to a sceptical manager.|Show the work the prompts do and what failure would cost|Show how many prompts the team has written so far|Show how much faster the prompts are than working by hand|Show that other teams maintain their prompts as well|Maintenance is justified by what the prompts are relied on for and what breaks without them, which is the case a manager is actually asking for.|A count measures activity, a speed comparison ignores the maintenance question itself, and pointing at other teams is not an argument about this one.
