# d7-01 — Troubleshooting and Optimization. Rebuilt to the official exam-item standard:
# scenario + explicit interrogative, four verb-led options, tagged to a guide objective.
# Format: concept|objective|tier|stem|CORRECT|d1|d2|d3|why|traps
context-problems|7.1|3|An associate attaches a spreadsheet and the model's figures do not match the file. What should they establish first?|Whether the file's rows were read as expected|Whether the model can recalculate more carefully|Whether retyping the figures would be quicker|Whether a different file format would work better|A mismatch between a file and an answer usually means the file was not read as expected, and confirming that precedes any attempt to fix the output.|Recalculating from a bad reading repeats the error, retyping works around the cause, and reformatting is a guess at the mechanism.
diagnosing-poor-output|7.1|3|An output is right in substance and the associate cannot tell where its figures came from. What is the most useful request?|Ask for each figure to be tied to its own source|Ask for the answer to be produced again more carefully|Ask whether the figures came from the attached files|Ask for the answer with considerably more detail|Requiring each figure to name its source makes checking possible and exposes immediately any figure that has no basis behind it.|A careful re-run adds no traceability, a yes-or-no question about provenance is not a trace, and more detail can be equally unfounded.
prompt-repair|7.1|3|A prompt works on typical inputs and fails on the unusual ones the team cares about. What should they add?|Examples of the unusual cases and how to handle them|An instruction to take extra care with all edge cases|A rule rejecting inputs that look unusual|A longer description of what the task involves|Worked examples of the hard cases show both what they look like and how they should be treated, without giving up performance on the common ones.|An instruction to take care names no case, rejecting unusual inputs refuses valid work, and more description does not demonstrate the handling.
context-problems|7.1|3|An associate supplies background material and the model keeps reproducing it in every answer. What should they clarify?|That the background is context rather than content|That the answers are currently too long to use|That the background should be read more carefully|That the material belongs at the end of the prompt|The model cannot tell what to draw on from what to reproduce unless it is told, and labelling the material's role is what settles it.|Length is a symptom rather than the cause, careful reading is not the issue, and position does not communicate purpose.
diagnosing-poor-output|7.1|4|An associate has a prompt that fails about one time in twenty and cannot reproduce the failure. What is the right next step?|Collect the failing cases until a pattern appears|Change the prompt and watch whether failures stop|Run the prompt repeatedly until one fails again|Accept the rate as the cost of using the tool|An intermittent failure is diagnosed from its instances, and gathering enough of them is what turns apparent randomness into an identifiable pattern.|Changing the prompt without a hypothesis tests nothing, brute-force repetition produces a case without its context, and accepting the rate ignores what the failures cost.
prompt-repair|7.1|4|A team's prompt has accumulated a clause after every incident and is now hard to reason about. What should they do?|Rebuild it around the failures that still occur|Keep it, since each clause was added for a reason|Remove the oldest clauses as the least relevant|Split it into several prompts run one after another|Clauses accumulate against failures that may no longer happen, so rebuilding around the current ones restores the prompt without losing real protection.|Historic justification does not prove current need, age does not indicate irrelevance, and splitting carries the same clauses across several prompts.
refusals-and-limits|7.2|2|A model declines a request and the associate believes the refusal rests on a misreading. What should they do?|Explain the actual purpose and ask again|Repeat the request in exactly the same words|Break the request up to get around the refusal|Try different phrasings until one is accepted|A refusal often reflects how a request read, so supplying the real context is what allows it to be assessed properly.|An identical repeat offers nothing new, splitting a request to evade a refusal is circumvention, and rephrasing until it passes tests wording rather than legitimacy.
refusals-and-limits|7.2|2|A model states it cannot access a system the associate needs figures from. What is the appropriate response?|Supply the figures the model cannot reach|Ask the model for its best estimate of them|Ask the model to try the system once more|Abandon the task, since the data is unavailable|A stated access limit is resolved by providing what the tool cannot fetch, which turns the limit into an ordinary input step.|An estimate substitutes invention for data, retrying ignores a clear statement, and abandoning gives up on a solvable gap.
refusals-and-limits|7.2|3|A model produces an answer and notes that its information may be out of date. What should the associate do with that note?|Check the point against a current source|Ignore it, since the answer looked complete|Ask the model for its most recent information|Remove the note before passing the answer on|A staleness caveat is a specific warning about a specific claim, and confirming it against something current is what resolves it.|Ignoring the warning is what it exists to prevent, asking for its most recent information yields nothing newer, and removing the note hides the uncertainty.
refusals-and-limits|7.2|3|A model gives a partial answer and says it cannot complete the rest. What is the most efficient response?|Use the partial answer and source the rest elsewhere|Rephrase the request until all of it is answered|Discard the partial answer as wholly unreliable|Press it to complete the rest as best it can|A stated limit is useful information, and combining what it could do with another source for the remainder is the efficient way forward.|Rephrasing to defeat a limit tests wording rather than capability, discarding good work overreacts, and pressing for a best effort invites a fabricated completion.
consistency-issues|7.2|2|The same prompt run three times returns three differently structured answers. What should the author specify?|The structure that every answer must follow|That the structure should be kept consistent|That the content matters more than the layout|That the best of several runs will be used|Structure left unspecified is chosen afresh on each run, so stating it is what makes the shape repeatable.|Asking for consistency does not say consistent with what, deprioritising layout ignores what downstream work needs, and picking the best repeats the cost every time.
consistency-issues|7.2|3|Two colleagues use the same Project and receive answers at different levels of detail. What should be checked first?|What each of them actually asked for|Whether the Project needs a detail instruction|Whether one of them should run all requests|Whether the difference matters to either of them|Two people asking differently is the most common cause of differing answers, so comparing the prompts distinguishes that from a configuration problem.|A Project-level instruction treats an unconfirmed cause, routing through one person creates a bottleneck, and dismissing it skips the diagnosis.
consistency-issues|7.2|4|A team's outputs are consistent within a day and drift noticeably across several weeks. What should they investigate?|What has changed in their inputs and prompts|Whether the model itself has been changed|Whether freezing the prompt would stop the drift|Whether drift is simply inherent to the tool|Slow drift usually tracks changes in the surrounding material, and finding what moved is what makes the drift explainable and fixable.|Blaming the model is the least testable explanation, freezing the prompt does not freeze the inputs, and calling it inherent ends the investigation.
feedback-loops|7.2|2|A team's review keeps catching the same category of error month after month. What should they change?|Feed what the review catches back into the prompt|Keep reviewing, since the errors are being caught|Increase review effort so they are caught sooner|Accept the recurrence as a cost of the workflow|A review that repeatedly catches one thing is describing a fixable upstream defect, and closing that loop is what stops paying for the catch indefinitely.|Catching them forever pays the cost forever, more review scales the symptom, and acceptance normalises avoidable waste.
feedback-loops|7.2|3|An associate wants to know whether a change to their prompt actually improved anything. What is the sound test?|Run both versions over the same set of inputs|Run the new version and judge whether it looks better|Ask colleagues whether the outputs feel improved|Run the new version several times for consistency|Comparing versions on identical inputs is what separates a real improvement from the ordinary variation between runs.|Judging the new version alone has no comparison, impressions are what a controlled test replaces, and repeated runs measure stability rather than improvement.
feedback-loops|7.2|3|Users report that a workflow's output is unhelpful while every internal measure looks healthy. What should the team do?|Ask users what they judge that the measures miss|Explain what the measures show about the quality|Treat the reports as unrepresentative of most users|Tighten the existing measures and re-run them|A persistent gap between measures and experience means the measures miss something real, and only the users can say what that is.|Explaining argues with the evidence, dismissing the reports assumes the answer, and tightening the wrong measure does not find the missing one.
approach-adjustment|7.2|3|A team's first attempt at a task worked poorly and they must decide what to change. What should they change first?|Whichever variable is cheapest to test|The model, since capability is the likely limit|The inputs, since they are within their control|Everything at once, to save time overall|With several plausible causes, testing the cheapest one first gets to an answer for the least cost, and one change at a time keeps the cause visible.|Either single hypothesis is a guess about where the limit sits, and changing everything leaves the cause unidentifiable.
approach-adjustment|7.2|4|A team's results improve after they add a phrase to their prompt, based on a handful of outputs. What should they conclude?|Nothing yet, since the improvement is unmeasured|That the phrase works and should be kept|That similar phrases would improve it even further|That such phrases have no real effect at all|An impression from a handful of outputs is what small-sample variation produces, so a controlled comparison is what turns it into a finding.|Keeping it on impression is the error, stacking phrases compounds an unverified effect, and dismissing it in advance is the same mistake reversed.
approach-adjustment|7.2|4|An associate is confident in an output and cannot explain how the model reached it. What should they verify?|The conclusion, against its underlying sources|The reasoning, by asking the model to explain it|Nothing, since confidence after review is enough|Neither, since unexplained output cannot be used|What can be checked is whether the conclusion holds against its sources, because a stated rationale is another output rather than a record of the process.|A generated explanation is not a trace, confidence is not verification, and refusing all unexplained output discards work that is often correct.
approach-adjustment|7.2|4|A team must decide whether to keep refining a prompt that already meets its purpose. What is the better use of effort?|Move to work where the output still fails|Keep refining, since improvement is always worthwhile|Stop permanently, since the prompt is finished|Refine until further changes stop helping at all|Effort returns more where the work is failing, and a prompt that meets its purpose has stopped being the binding constraint.|Endless improvement ignores opportunity cost, calling it finished forgets that inputs change, and tuning to exhaustion is the same over-investment as a rule.
efficiency-tuning|7.3|2|An associate opens each session by pasting the same standing context by hand. What should they do instead?|Move the preamble into the Project's instructions|Shorten the preamble so retyping costs less|Keep a copy of it to paste in each time|Ask the model to remember it for next time|Instructions apply automatically to every conversation in a Project, which is exactly what a repeated preamble is trying to achieve by hand.|A shorter preamble is still retyped, pasting is the same manual step, and a request to remember does not persist across conversations.
efficiency-tuning|7.3|2|A team runs the same analysis over twenty documents and writes a fresh prompt for each. What should they do instead?|Write one prompt and reuse it across the twenty|Combine all twenty documents into one prompt|Write shorter prompts so each costs less to write|Analyse only the documents likely to matter|A repeated task wants one stable prompt applied twenty times, which also makes the twenty results comparable with each other.|One combined prompt makes the documents compete, shorter prompts still vary between runs, and skipping documents changes the task.
efficiency-tuning|7.3|3|A team's prompt works well and takes three exchanges to reach a usable answer every time. What should they change?|Fold what those exchanges add into the first prompt|Accept it, since three exchanges is quite a small cost|Ask the model to skip to the final answer|Reuse a previous final answer as a template|The exchanges are supplying information the first prompt omitted, and putting it there is what removes the round trips.|Repeated cost compounds across a team, asking it to skip ahead supplies nothing, and reusing an old answer stops it being about the new input.
efficiency-tuning|7.3|3|A team must cut how much material each request carries without losing answer quality. What should they remove?|Material that has never changed an answer|The longest documents in the prompt|Everything added in the last month|Half of it, and accept the difference|Volume is worth paying for where it changes the answer, so what can go is what has demonstrably never made a difference.|Length is not a measure of contribution, recency says nothing about usefulness, and arbitrary halving trades quality blindly.
workflow-optimisation|7.3|2|A team is asked where to look first for time savings in a slow process. What should they examine?|Where the work waits between the steps|Which step takes the longest to perform|Which step the team finds most tedious|Which step involves the fewest people|Waiting between steps is usually where most elapsed time sits, and it is invisible if you only measure how long each step takes to perform.|Duration, tedium and headcount describe the steps themselves rather than the gaps that separate them.
workflow-optimisation|7.3|3|A team's workflow is efficient and produces an output the business does not actually need. What should they do?|Change what it produces before optimising further|Keep optimising, since efficiency always pays|Stop the workflow, since its output is unused|Ask the business to make use of the output|Efficiency at producing the wrong thing is waste performed well, so the output has to be right before speed is worth pursuing at all.|Optimising the wrong output compounds the error, stopping discards redirectable capability, and asking the business to adapt inverts the relationship.
workflow-optimisation|7.3|4|A team can either speed up their slowest step or the step that carries most of the value. What should decide it?|Which change risks the outcome least|Which step is slowest in absolute terms|Which step the team can change most easily|Which step was added to the process last|Cutting time from the step that carries the value risks the result, so the cheaper time is found where less depends on it.|Absolute duration ignores what a step produces, ease describes the work rather than the payoff, and recency is arbitrary.
cost-optimisation|7.3|3|A team's monthly bill is dominated by a small number of unusually long inputs. What should they do?|Handle the long inputs differently from the rest|Move every workflow to a cheaper configuration|Refuse inputs over a certain length entirely|Accept it, since long inputs genuinely cost more|When a few inputs drive most of the cost, they are the thing to treat specially rather than changing everything around them.|A blanket change affects the many to fix the few, a length limit refuses valid work, and acceptance forgoes a targeted saving.
cost-optimisation|7.3|3|A team's per-request cost is dominated by a reference document sent with every request. What should they change?|Move the document where it is not resent each time|Shorten the document until the cost is acceptable|Send it only on the first request of a session|Accept the cost, since the document improves output|Material identical on every request is what should live outside the request rather than being paid for repeatedly.|Shortening loses guidance, first-request-only leaves later requests without it, and acceptance forgoes an easy saving.
cost-optimisation|7.3|4|A team can halve their running cost at the price of a handful of extra errors a month. What should decide it?|What those additional errors would cost|That the saving is certain and immediate|That introducing errors is never acceptable|That a review step could catch them anyway|The trade is money against errors, and it can only be settled by pricing both sides rather than preferring one on principle.|Certainty of saving says nothing about the cost, a blanket refusal ignores that every configuration makes errors, and a review step carries its own cost.
