# d2-02 — validation judgement, evidence handling, review design
verifying-facts|2.3|3|A team has to decide whether to verify a claim that would take two hours to check and appears in an internal document read by four people.|Weigh the checking cost against what a wrong claim would cost|Verify it, since any factual claim in a document should be confirmed|Skip verification, since an internal document with four readers is low stakes|Ask Claude to assess how likely the claim is to be accurate|Verification is a cost-benefit decision, and both sides of it are known here. Reasoning explicitly about the trade-off is what produces a defensible answer either way.|Blanket rules in either direction ignore the specific costs. Asking the model to estimate its own reliability is not evidence.
hallucination-detection|2.2|4|An associate notices Claude has attributed a policy position to a government agency. The position is one the agency plausibly holds but has not publicly stated.|Verify against the agency's own published material first|Accept the attribution, since it is consistent with the agency's known direction|Soften the attribution to say the agency is understood to hold the position|Ask Claude for a link to where the agency stated the position|Attributing an unstated position to a named body is a factual claim about that body. Consistency with its direction is what makes the fabrication credible rather than what verifies it.|Softening publishes an unverified attribution in weaker words. A requested link may be generated rather than retrieved.
completeness-gaps|2.1|3|A team asks Claude for lessons learned from a project. The list is thoughtful and every item concerns things the team did wrong.|Ask what went well too, since a lessons request is read as a request for problems|Ask for more lessons so the positive ones eventually appear in the list|Ask Claude to balance the list between positive and negative lessons|Accept the list, since lessons learned conventionally focus on improvements|The framing of "lessons learned" selects for failure. Asking about what worked is what surfaces practices worth repeating, which is half the value of the exercise.|Volume samples the same framing. A balance instruction manufactures symmetry, and accepting the convention keeps the gap.
quality-criteria|2.4|3|An associate receives two Claude drafts. One is more thorough and one is more readable. The audience is a busy executive who will skim it.|Choose the readable one, since fitness for the actual reader is the standard|Choose the thorough one, since completeness is the more objective measure of quality|Combine them into a version that is both thorough and highly readable|Ask Claude which of the two drafts is objectively better written|Quality is relative to purpose and audience. For a skimming executive, thoroughness that will not be read is not a quality advantage.|Treating thoroughness as objectively better ignores the reader. A combined version has to make the same trade-off, and there is no author-independent verdict to ask for.
self-evaluation-limits|2.4|3|A team includes an instruction telling Claude to say when it is unsure. Outputs rarely include such statements, and errors still occur.|Treat the absence of any uncertainty statement as uninformative|Conclude that outputs without uncertainty statements are reliable enough to use|Strengthen the instruction so uncertainty is flagged more consistently|Ask Claude after each output whether it was uncertain about anything|A model does not reliably detect its own errors, so silence about uncertainty is not a signal of correctness. The instruction cannot make an unavailable signal available.|Treating silence as assurance is the trap. Stronger wording and follow-up questions both ask for a signal the model cannot generate reliably.
numerical-accuracy|2.1|3|An associate asks Claude to compare two figures and it reports the difference as a percentage. The two figures are counts of different things measured over different periods.|Question whether the comparison is meaningful at all|Check the arithmetic, since that is the part most likely to contain an error|Ask Claude to normalise the two figures so the comparison becomes valid|Present the percentage with a note explaining what each figure measures|A correctly computed comparison between incomparable quantities is still meaningless. Validity of the comparison is the prior question to its arithmetic.|Checking arithmetic validates the wrong thing. Normalisation may not be possible, and a caveat presents a meaningless figure with an explanation attached.
review-workflow|2.4|3|A team's reviewers see Claude's output only after it has been formatted into the final template. Errors are caught less often than when drafts were reviewed as plain text.|Review before formatting, since polished presentation reduces scrutiny of the content|Ask reviewers to read the formatted version more carefully than they currently do|Add a second review pass after formatting has been applied to the draft|Format the drafts more plainly so they look less finished during review|Finished-looking artefacts attract less scrutiny, so the review is better placed before presentation is applied. This is a sequencing fix rather than an effort one.|Asking for more care fights a well-documented effect. A second pass costs more for the same bias, and deliberately degrading formatting is a workaround for the sequencing.
bias-and-framing|2.2|3|An associate asks Claude to summarise feedback from twenty customers. The summary emphasises the two most articulate complaints and treats them as representative.|Ask how many customers raised each theme, rather than how well|Ask for a longer summary so the less articulate feedback is also represented|Ask Claude to weight all twenty responses equally in the summary|Read the individual responses rather than relying on a summary of them|Articulacy translates into salience during summarisation. Requesting counts is what grounds emphasis in how many people said something rather than how well they said it.|Length does not rebalance emphasis. An equal-weighting instruction states a goal without a mechanism, and reading everything forfeits the summary.
sampling-and-evidence|2.3|4|A team measures a prompt's accuracy at 92% on 25 test cases. They report this as the accuracy the team should expect in production.|Note that 25 cases give a wide margin of error here|Report 92% as the expected accuracy, since it was measured on real test cases|Round the figure to 90% to be conservative about what was measured|Test 25 more cases and report the average of the two measurements|A small sample gives an imprecise estimate, and test cases are usually easier and less varied than production traffic. Both caveats matter to anyone acting on the number.|Reporting the point estimate hides both problems. Rounding down is arbitrary, and a second small sample narrows the interval slightly without addressing the distribution difference.
verifying-facts|2.3|3|An associate needs to check a Claude claim about a competitor's pricing. The competitor's site shows a different price than the one Claude gave.|Use the price shown on the competitor's own site|Ask Claude to explain the discrepancy between the two prices|Use Claude's figure, since it may reflect pricing not shown publicly|Note both figures in the report and let readers decide which to use|A live authoritative source settles a factual question about current pricing. There is no scenario in which the generated figure is the better evidence here.|Asking for an explanation invites a rationalisation. Speculating about hidden pricing and presenting both figures both preserve a number known to be wrong.
completeness-gaps|2.1|3|A team asks Claude to identify stakeholders for a change programme. The list covers internal teams thoroughly and does not mention customers or regulators.|Ask about external stakeholders explicitly rather than in the general case|Ask for a longer list so external groups eventually appear in it|Ask Claude whether the list is complete before using it for planning|Review the list against a stakeholder framework to identify the gaps|Naming the categories is what prevents a generic request from returning only the most commonly discussed group. External stakeholders are the systematic omission here.|Volume samples the same skew. A completeness self-check is unreliable, and framework review is good practice arriving after the omission.
quality-criteria|2.4|3|An associate has been asked to define what "good enough" means for Claude-drafted customer emails. They are unsure where to start.|Describe what a bad email would cause, and set the bar just there|Set the bar at the quality a senior colleague would produce unaided|Define good enough as requiring no more than two edits before sending|Ask Claude to propose a quality standard for customer emails|Working backwards from consequences produces a standard that is specific and defensible, because it is anchored in what actually goes wrong rather than in a comparison.|A senior-colleague benchmark is unshared and unmeasurable. Edit counts measure convenience, and a model-proposed standard is not grounded in your context.
review-workflow|2.4|3|A team catches an error in Claude's output after it has been sent to a client. They correct it and move on.|Examine why the review step actually missed it this time|Add an extra reviewer to the process to reduce the chance of a repeat|Ask Claude to be more careful with this type of content in future|Accept that some errors will get through and focus on responding well when they do|An escaped error is information about the control. Diagnosing why review missed it is what turns a single incident into a process improvement.|Adding reviewers without knowing the failure mode may not address it. Instructing the model does not fix the control, and accepting escapes skips a free diagnosis.
hallucination-detection|2.2|3|An associate is reviewing Claude output in a subject they know well and one they do not. They find two errors in the familiar subject.|Assume the unfamiliar section has a similar error rate|Conclude the unfamiliar section is probably fine, since no errors were visible in it|Ask Claude to check the unfamiliar section for errors of the same kind|Ask a colleague with the relevant expertise to review the unfamiliar section|Your detection rate depends on your knowledge, not on the output's quality. Errors found where you can see them imply errors where you cannot.|Absence of detected errors in an area you cannot assess is not evidence of quality. Self-checking is not independent, though expert review is a reasonable next step it does not follow from the reasoning being tested.
numerical-accuracy|2.1|3|A team asks Claude to rank five options by cost. The ranking is correct, but two options are described as having costs that differ by an amount the source does not support.|Verify the underlying figures separately from the ranking that they produced|Accept the ranking, since the order is what the analysis was needed for|Ask Claude to recheck the figures used to produce the ranking|Present the ranking without the underlying cost figures attached|Ordering and magnitude are different claims and can fail independently. A correct ranking is not evidence that the values behind it are right.|Accepting the ranking ignores that the figures will be quoted. Self-rechecking is not independent, and hiding the figures conceals rather than corrects.
source-attribution|2.3|3|An associate asks Claude a question and it gives an answer that combines information from an uploaded report with general industry knowledge, without distinguishing the two.|Ask it to separate what came from the report from what did not come from it|Ask for the answer again with an instruction to use only the uploaded report|Accept the answer, since both the report and industry knowledge are relevant here|Ask Claude to cite the report wherever the report supports a claim|Blended answers need unblending before use, because the two parts have different verification requirements. Asking for the split preserves the answer you already have.|A rerun discards the broader answer. Assuming both are fine ignores that one part is unverified, and retrofitted citations may be misattached.
self-evaluation-limits|2.4|3|A team's process asks Claude to rate each output's quality from one to five and routes anything below four to human review. Errors still reach customers in outputs rated five.|Route by the consequence of the content, not the model's rating|Lower the threshold so outputs rated four also go to human review|Ask Claude to be stricter when rating the quality of its own output|Add a second rating pass and route anything either pass rates low|Self-rating cannot detect the errors the model is blind to, so no threshold on that scale catches them. Routing on stakes is a criterion that does not depend on the model's self-knowledge.|Every threshold-based fix assumes the rating carries signal about the errors that matter. A second pass shares the blind spot.
bias-and-framing|2.2|3|An associate asks Claude to assess a risk and mentions in the prompt that the team has already decided to proceed.|Ask for the assessment without mentioning the decision|Accept the assessment, since the risk analysis is separable from the decision context|Ask Claude to assess the risk as though the decision had not yet been made|Ask for the assessment and then ask what would change if the decision were reversed|Mentioning a settled decision reframes the task from evaluation to support. Removing that context is the cleanest way to get an assessment that could still say no.|Assuming separability is the misconception. A counterfactual instruction competes with context already supplied, and a follow-up works within the framed answer.
completeness-gaps|2.1|3|A team receives a Claude analysis of why sales fell. Every explanation offered concerns the company's own actions.|Ask about external market factors explicitly rather than internal ones|Ask for more explanations so external factors eventually appear|Ask Claude whether external factors could also explain the decline|Compare the analysis against market data to see what it missed|Causal analyses gravitate toward the actor's own behaviour. Naming external categories is what brings market, competitor and seasonal factors into consideration.|Volume samples the same bias. A yes-or-no follow-up produces agreement without analysis, and market comparison is a check after the fact.
verifying-facts|2.3|3|An associate checks a Claude-generated figure against a second Claude conversation, which produces the same figure.|Recognise that two runs of the same model are not independent sources|Accept the figure, since it was confirmed by an independent check|Run a third conversation and accept the figure if all three agree|Ask Claude in the second conversation to be especially careful about accuracy|Independence is the property that makes corroboration meaningful, and two runs of the same model share the same tendencies. Agreement between them is close to no evidence.|Treating a second run as independent is the core error. A third run compounds it, and instructions about care do not create independence.
review-workflow|2.4|4|A team wants to reduce review burden as their confidence in Claude's output grows. They are unsure how to do it safely.|Reduce review only on categories where measurement shows low risk|Reduce review uniformly across all categories as overall confidence increases|Keep review constant, since reducing it will eventually let errors through|Reduce review and rely on customer reports to identify any problems that arise|Confidence is category-specific, so relaxation should be too. Measured low-risk categories are where the burden can safely come off while high-stakes content stays covered.|Uniform reduction lowers the control where it matters most. Never relaxing ignores real evidence, and relying on customers to find errors externalises the check.
quality-criteria|2.4|3|An associate finds that Claude's output meets every requirement they specified but is not what they actually wanted.|Treat the gap as a sign the requirements were wrong|Accept the output, since it satisfies the requirements that were agreed|Ask Claude to produce something better while keeping the same requirements|Add more requirements until the output matches what was wanted|A requirements-satisfying output that misses the need means the specification is wrong. Revising it is what fixes the problem for this attempt and future ones.|Accepting it delivers the wrong thing. Asking for better against the same spec is undirected, and stacking requirements patches without diagnosing.
sampling-and-evidence|2.3|3|A team notices Claude performs worse on Fridays. They have four weeks of observations and roughly ten outputs per week.|Treat the pattern as unsupported, and look for a difference in the inputs instead|Investigate what changes on Fridays that might affect the model's performance|Collect more data over the next several months to confirm the pattern|Adjust the workflow to avoid running important tasks on Fridays|Forty observations spread over five weekdays cannot support a day-of-week effect. The likelier explanation is a difference in what gets submitted, which is checkable now.|Investigating the day itself assumes the pattern is real. More data may eventually help but the input difference is the cheaper hypothesis, and changing the workflow acts on an unverified pattern.
numerical-accuracy|2.1|3|An associate receives a Claude-generated budget breakdown. The categories sum correctly to the total, but one category is labelled with a name that does not match its contents.|Check the labels as well as the arithmetic in the breakdown|Accept the breakdown, since the figures reconcile with the stated total|Ask Claude to relabel the category to match its contents|Ask Claude to explain what it included in each of the categories|Arithmetic consistency and semantic correctness are separate properties. A breakdown can add up perfectly while assigning items to the wrong buckets.|Treating reconciliation as validation is the error. Relabelling assumes the contents are right, and an explanation is a useful diagnostic rather than a check.
hallucination-detection|2.2|3|A team asks Claude about their own internal process. The answer is confident, detailed and describes a process the company does not follow.|Recognise the model has no access to the internal processes|Ask Claude where it obtained its information about the internal process|Correct the answer and ask Claude to remember the actual process|Assume the answer describes an earlier version of the process|Questions about private internal facts have no source in what the model can draw on, so the answer is a plausible generic construction. Recognising that class of question is the durable lesson.|Asking for a source invites invention. Assuming it describes an old version rationalises a fabrication, and correction addresses one instance.
source-attribution|2.3|3|An associate needs to show where each claim in a Claude-drafted section came from. The section was produced from four uploaded documents in one request.|Regenerate the section with each claim naming its source|Ask Claude to add source labels to the section it has already produced|Cite all four documents at the end of the section as its collective sources|Read the four documents and attach sources to the claims manually|Provenance is far more reliable when required during generation than reconstructed afterwards. Regenerating with the requirement in place produces traceable output.|Retrofitted labels are guesses about the model's own earlier process. A collective citation is not traceability, and manual attribution is expensive and still uncertain.
bias-and-framing|2.2|3|A team asks Claude to write a case study about a project. The case study is accurate but reads as uniformly successful, when the project had significant setbacks.|Ask for the setbacks and how they were handled to be included as part of the account|Ask for a more balanced case study in a follow-up request|Ask Claude to add a challenges section to the case study it produced|Accept it, since case studies conventionally emphasise successful outcomes|Case study is a genre with a promotional default. Naming setbacks and their resolution as required content is what changes what gets written rather than what gets appended.|A balance instruction is vague. A bolted-on challenges section sits apart from the narrative, and accepting the convention keeps the distortion.
completeness-gaps|2.1|3|An associate asks Claude to check a document against a compliance checklist. It reports on every item in the checklist and does not mention a compliance issue outside it.|Recognise that a checklist review is bounded by the checklist itself|Ask Claude to check for compliance issues generally in addition to the checklist|Expand the checklist to cover the issue that was missed this time|Ask Claude whether it noticed anything concerning beyond the checklist items|A checklist defines scope, and anything outside it is out of scope by construction. Knowing that limitation is what tells you a second, open-ended pass is needed.|A general instruction bolted onto a checklist review muddles both. Expanding the checklist fixes one gap, and a follow-up question is weaker than a dedicated pass.
review-workflow|2.4|3|A team's reviewers approve Claude output faster than they approved human drafts of the same kind, and are catching fewer issues.|Give reviewers the same time and criteria for each of the drafts|Ask reviewers to be aware that generated content needs more scrutiny|Route generated content to more experienced reviewers than human drafts|Add an automated check before generated content reaches reviewers|The speed difference reflects an expectation attached to the source rather than to the artefact. Equalising time and criteria removes the source from the review decision.|Awareness alone rarely changes behaviour under time pressure. Reallocating reviewers and adding automation both leave the differential in place.
self-evaluation-limits|2.4|3|An associate asks Claude to identify the weakest part of its own analysis. It names a section that is genuinely weak, and the team fixes it.|Use the answer as one input and review the rest independently|Fix the identified section and treat the analysis as strengthened overall|Ask Claude to identify the next weakest part and continue until it stops|Ask Claude to confirm the analysis is sound after the fix has been applied|Naming a real weakness does not establish it was the most serious one. The model's view of its own output is partial, so the answer is a lead rather than a verdict.|Treating it as the weakest point is the unsupported step. Iterating mines the same partial view, and a self-confirmation adds nothing.
verifying-facts|2.3|3|A team is checking a Claude-generated document and finds the sources it cites are real and say roughly what is claimed, but each claim is slightly stronger than its source.|Adjust each claim to match its source, since consistent overstatement is a systematic drift|Accept the document, since the sources support the general direction of each claim|Ask Claude to soften the claims that overstate their sources|Add a caveat noting that claims are summarised from the cited sources|A consistent pattern of strengthening is a systematic issue affecting every claim, so it is corrected claim by claim against the sources rather than treated as acceptable rounding.|Directional support is not support for the stated strength. A softening pass repeats the summarisation that drifted, and a caveat does not correct the claims.
numerical-accuracy|2.1|3|An associate asks Claude for a figure and receives one that matches their expectation exactly. The figure is unusually round.|Verify it, since matching your expectations is a reason for scrutiny|Accept it, since it agrees with what the associate already believed to be true|Ask Claude whether the figure is exact or approximate|Use the figure and note that it is approximate in the document|Agreement with expectation removes the friction that would normally prompt a check, and roundness suggests a plausible construction. Both are reasons to verify rather than to relax.|Confirmation is the weakest reason to accept a figure. Asking about precision and labelling it approximate both publish an unverified number.
quality-criteria|2.4|3|A team asks whether Claude's output is good. Different stakeholders answer differently because each is judging against their own unstated purpose.|Establish the purpose the output serves before judging its quality|Collect all the stakeholder views and average them into an overall verdict|Ask the most senior stakeholder to make the final quality decision|Ask Claude to assess the output against each stakeholder's likely concerns|Quality is meaningless without a purpose, and unstated purposes are why the judgements diverge. Fixing the purpose is what makes the assessments comparable.|Averaging incommensurable judgements produces a number with no meaning. Seniority settles it by authority rather than by standard, and modelling stakeholder concerns does not agree the purpose.
sampling-and-evidence|2.3|3|An associate wants to show that using Claude improved their team's output quality. They compare this quarter's work against last quarter's.|Note that many things changed between the two quarters|Present the comparison, since it covers a substantial period of real work|Compare against the same quarter last year to control for seasonal effects|Ask the team whether they believe quality has improved this quarter|A before-and-after comparison across a quarter confounds the tool with everything else that changed. Stating that limitation is what keeps the claim honest.|Presenting it as evidence overclaims. Year-on-year comparison controls for one confounder among many, and team perception is a different and weaker measure.
completeness-gaps|2.1|3|A team asks Claude to summarise a policy document. The summary is accurate and omits the exceptions section, which is where most of the practical complexity sits.|Ask for the exceptions and the edge cases specifically, not just the main rules|Ask for a longer summary so the exceptions section is more likely to survive|Ask Claude to summarise each section of the document separately|Ask Claude whether the policy has exceptions that were not summarised|Exceptions read as detail during compression and are dropped early. Requesting them explicitly is what preserves the part that determines how a policy actually operates.|Length helps marginally without targeting the category. Section-by-section summarisation is heavier than needed, and a follow-up may be answered from the compressed view.
hallucination-detection|2.2|3|An associate finds Claude has described a meeting that did not happen, in an otherwise accurate summary of a project history.|Verify the events as well as the facts in the generated narrative|Remove the meeting and accept the rest of the project history as accurate|Ask Claude to confirm which meetings in the summary actually took place|Assume the meeting happened but was not recorded in the documents provided|Narrative generation fills gaps with plausible connecting events. A described meeting is a factual claim about the world and needs the same verification as a figure.|Assuming an unrecorded meeting rationalises the fabrication. Removing it in isolation ignores what else may be constructed, and self-confirmation is not independent.
review-workflow|2.4|3|A team has one reviewer who catches far more issues than the others. They are becoming a bottleneck.|Find out what that reviewer checks and turn it into shared criteria|Route all high-stakes content to that reviewer and accept the bottleneck|Ask the other reviewers to spend more time on each item they review|Reduce the volume of content so the strong reviewer can review all of it|An effective reviewer is following criteria the others are not. Making those criteria explicit distributes the capability instead of concentrating dependence on one person.|Routing everything to them entrenches the bottleneck. More time without better criteria does not close the gap, and cutting volume constrains the work to fit one person.
bias-and-framing|2.2|3|An associate asks Claude to summarise a debate. The summary presents both positions fairly but treats a fringe position and a mainstream one as equally weighted.|Ask what level of support each position actually has|Accept the summary, since presenting both positions fairly is what balance requires|Ask Claude to indicate which position it considers more likely to be correct|Ask for a longer summary so the mainstream position receives more coverage|Balanced presentation of unbalanced positions distorts by implying parity. Asking about the level of support restores the proportion without suppressing the minority view.|Equating fairness with equal treatment is the false-balance error. A model verdict substitutes opinion, and more length does not encode standing.
verifying-facts|2.3|3|A team needs to check twenty claims and has a subject expert available for one hour.|Have the expert check the claims that only an expert is able to evaluate|Have the expert check as many claims as possible in the hour available|Have the expert check the claims that appear first in the document|Ask Claude to identify which claims require expert judgement to verify|Scarce expertise goes where it is the only thing that works. Claims checkable against documents do not need the expert, so routing by what the check requires maximises what the hour buys.|Working through in order wastes expert time on checkable claims. Position is arbitrary, and asking the model to triage is not independent.
self-evaluation-limits|2.4|4|An associate asks Claude to list what it does not know about a topic. The list is thoughtful and does not include the specific gap that later causes a problem.|Treat such a list as partial by construction rather than as complete|Accept the list as a reasonable map of the model's limitations on the topic|Ask Claude to extend the list until the relevant gap is eventually included|Ask Claude to rate its overall coverage of the topic as a percentage|A model can only report gaps it can represent, which excludes the ones that matter most. The list is useful as a prompt for your own thinking, not as a boundary.|Treating it as a map is the error. Iterating mines the same representable set, and a coverage percentage is an unfounded self-estimate.
quality-criteria|2.4|3|A team's quality bar for Claude output is that a reviewer would not be embarrassed to have written it. Outputs that clear this bar still contain factual errors.|Add an explicit accuracy check alongside the presentation bar|Raise the bar so reviewers apply a stricter standard when assessing outputs|Ask reviewers to imagine the output being published externally|Ask Claude to check its output against the same standard before submitting it|An authorship-embarrassment test measures how the writing reads. Factual correctness is a separate property needing its own check against sources.|Raising or reframing the same presentational bar does not add a source comparison. Model self-checking is not independent.
source-attribution|2.3|3|A team publishes a Claude-drafted article that draws on three sources. A reader asks which claim came from which source and nobody on the team can answer.|Require per-claim sourcing at generation time|Ask Claude to reconstruct which source supported each claim in the article|List the three sources at the end of the article as its bibliography|Remove the specific claims that cannot be attributed to a particular source|Traceability has to be built during generation, because reconstructing it later is guesswork about a process that left no record. Requiring it up front is the only reliable point of intervention.|Reconstruction produces plausible attributions rather than real ones. A bibliography does not map claims to sources, and stripping claims discards content that may be perfectly well supported.
