# d7-03 — optimisation and repair
efficiency-tuning|3|A team's workflow is accurate and slow, and the slowness is caused by a step nobody has questioned.|Question whether that step is needed at all|Move the slow step to a faster model tier so that it completes more quickly|Run the slow step in parallel with the others|Accept the latency as a cost of the current design|The cheapest optimisation is removing work that does not need doing. Questioning the step precedes making it faster.|Speeding up or parallelising an unnecessary step optimises waste. Accepting the latency skips the question entirely.
efficiency-tuning|3|An associate's workflow processes every item at the same depth, and most items are straightforward.|Route straightforward items through a lighter path|Move everything to a cheaper tier so that the cost per item falls across the whole workload|Process fewer items so the total cost comes down|Accept the cost as the price of consistent processing|Matching processing depth to item difficulty is what captures the saving without degrading the hard cases.|A uniform downgrade under-serves the complex items. Processing fewer items reduces the work, and accepting the cost forgoes an available saving.
diagnosing-poor-output|3|A team's output is worse than a colleague's on the same task and they cannot see any difference in approach.|Compare the two setups systematically rather than looking for a difference by eye|Ask the colleague to explain how they approach the task|Copy the colleague's prompt and use it without changes|Accept the difference between the two sets of results|A systematic comparison of prompts, settings and context finds differences that inspection misses. That is the reliable method.|Discussion may surface a difference by luck. Copying works without producing understanding, and accepting the gap forgoes the diagnosis.
prompt-repair|3|A team's prompt has an instruction that has never been tested and may have no effect.|Remove it temporarily and see whether anything changes|Leave it, since it does no harm and may be contributing something that would be lost if it were removed from the prompt|Strengthen the wording of the untested instruction|Move the instruction earlier so it carries more weight|Removing and comparing is the direct test of whether an instruction does anything. Untested instructions dilute the ones that matter.|Assuming it is harmless ignores the dilution cost. Strengthening and repositioning both act before establishing whether it does anything.
context-problems|3|An associate finds that answers improve when they ask about one topic at a time rather than several.|Take it as a working technique and structure requests around single topics|Treat it as a coincidence, since a single request covering several topics should produce the same quality of answer as several separate requests would|Ask about several topics but in a longer prompt|Ask about several topics and request longer answers|Single-topic requests concentrate attention, and an observed improvement is a technique worth adopting deliberately.|Dismissing the observation discards a finding. Longer prompts and longer answers both keep the attention split.
consistency-issues|3|A team wants reproducible results and is currently regenerating the output each time it is needed.|Generate once, validate, and reuse the validated output|Regenerate each time and compare against the previous version|Accept the variation between the generated versions|Average across several generations of the same output|When the same output is needed repeatedly, generating once and reusing a validated result is both reproducible and cheaper than regenerating.|Comparing every regeneration is ongoing work for no gain. Accepting variation defeats the requirement, and averaging is not meaningful for text.
refusals-and-limits|3|A team's prompt occasionally produces a response declining part of the request while completing the rest.|Look at which part is being declined and why|Regenerate the response so that a complete answer is produced|Split the request into parts and submit them separately|Remove the part of the request that is being declined|Understanding which element triggers the decline is what determines whether the request should be reframed or reconsidered.|Regenerating hopes the decline does not recur. Splitting and removing both act before understanding what is being objected to.
efficiency-tuning|3|An associate's prompt has grown because each addition seemed small at the time.|Review the whole prompt against what the task needs|Remove the most recent additions, since those are the ones that pushed the prompt to its current length and are most likely to be the least necessary of them|Move to a cheaper tier so the longer prompt costs less|Accept the current length as the cost of the additions|Incremental growth is only visible against the task's actual requirements. Reviewing the whole prompt against those is what identifies what to cut.|Removing by recency assumes newer means less necessary. A cheaper tier pays less for the same bloat, and accepting it forgoes the saving.
diagnosing-poor-output|3|A team's workflow produces good output that their reviewers consistently find unusable.|Find out what the reviewers need that the output does not provide|Improve the output quality further so that it meets the standard the reviewers are applying when they assess whether the material is usable for their purposes|Change the reviewers for people with different standards|Ask the reviewers to be rather less demanding|Output judged unusable despite being good is missing something specific to the reviewers' need. Finding out what is the direct route.|Improving general quality without knowing the gap is undirected. Changing or pressuring reviewers avoids a legitimate requirement.
prompt-repair|3|A prompt produces the right answer but always adds an unnecessary preamble.|Say that the response should begin with the answer and contain no preamble|Ask for shorter responses so that the preamble is compressed along with the rest of the content the model produces in reply to the request|Delete the preamble manually from each response produced|Ask the model to stop being conversational|A specific unwanted element is removed by naming it and stating what should replace it. That is the direct instruction.|Shortening compresses the answer too. Manual deletion repeats forever, and a vague instruction about tone is less precise than naming the element.
context-problems|3|A team's workflow supplies a document and a set of instructions, and the model follows the document's own instructions instead.|Make clear which text is the task and which is material to be worked on|Shorten the document so that its own instructional content is less prominent within the material supplied alongside the actual task instructions|Remove the document so its instructions cannot be followed|Repeat the task instructions after the document as well|Documents containing instructions can be read as directives unless the boundary is marked. Making the distinction explicit is what resolves it.|Shortening reduces the surface without marking the boundary. Removing the document loses the material, and repetition competes rather than clarifies.
consistency-issues|3|An associate's results changed after the model was updated and they had not been tracking versions.|Start recording which version produced which results|Rebuild the prompt against the new version so that it is tuned for the current model|Revert to the previous model version and stay there|Accept that updates change behaviour|Recording versions is what makes future changes attributable. Without it, every update produces an unexplained shift.|Rebuilding may be needed but leaves the same blind spot. Reverting is temporary, and accepting change without tracking it forgoes the diagnosis.
refusals-and-limits|3|A team wants to know why the model sometimes says it is uncertain and sometimes does not, on similar questions.|Treat expressed uncertainty as informative when present and uninformative when absent|Ask the model to always state its confidence so that the signal is available consistently across every response the team receives from the workflow|Verify only the answers where uncertainty was expressed|Ask the question in a consistent way each time|Expressed uncertainty is asymmetric: present it means something, absent it means nothing. That asymmetry is the point.|Mandating a confidence statement does not create the missing knowledge. Verifying only flagged answers misses confident errors, and consistent phrasing does not change the asymmetry.
efficiency-tuning|3|A team's workflow could be made cheaper, faster or more accurate, and they cannot have all three.|Decide which constraint actually binds for this workload|Improve all three incrementally so that the workflow gets somewhat better on each of the dimensions|Optimise for accuracy since correctness matters most here|Optimise for cost since the budget is under pressure|Optimisation requires knowing which dimension is binding. Identifying that is what makes the trade-off deliberate.|Spreading effort across three dimensions improves none meaningfully. Choosing accuracy or cost by default ignores which one is actually constrained.
diagnosing-poor-output|3|An associate has a theory about why their workflow fails and has not tested it.|Test the theory before acting on it|Act on the theory, since it is the most plausible explanation available and testing would take time that could be spent implementing the fix instead|Ask a colleague whether the theory sounds right|Implement a fix that would work regardless of the cause|An untested theory is a hypothesis. Testing it is usually quick and prevents effort going into a fix for the wrong cause.|Acting untested risks fixing nothing. A colleague's view is opinion, and a cause-agnostic fix is usually a workaround rather than a resolution.
