# d2-m1 — Output Evaluation and Validation, multiple-response
# Targets official objectives 2.5 (adapt/compare output for the intended audience)
# and 2.6 (curate information, select output formats), both previously thin.
hallucination-detection|2.2|3|2|A market summary quotes a share figure to one decimal place and names no source for it.|Precision is not itself evidence of accuracy here|Treat the figure as unsupported until it is sourced|Round it, since the precision is probably overstated|Accept it, since precise figures are rarely invented|Ask for the same figure again to see if it matches|Fabricated numbers are produced with the same precision as real ones, so the decimal places carry no information about whether it is true.|Rounding an unsourced figure leaves it unsourced, and asking again is not an independent check.
hallucination-detection|2.2|4|2|A team's output is accurate on everything checkable and much of it cannot be checked.|Say which parts were verified when passing it on|Avoid generalising from the checked part to the rest|Report the document as verified, since checks all passed|Treat the unverifiable parts as probably accurate too|Discard the whole output, since gaps remain in it|A clean result on the checkable subset says nothing about the rest, so the honest report distinguishes the two rather than extending one verdict over both.|Calling it verified overstates the coverage, inferring accuracy is the error itself, and discarding verified work overreacts.
bias-and-framing|2.2|2|2|An associate asks why an approach is better than the alternative and gets a strong case for it.|The question itself presupposed its own conclusion|Ask an open question that does not assume an answer|Accept it, since the reasoning given is sound|Ask for the drawbacks as a separate follow-up|Ask the same question about the other approach too|A question built on a conclusion returns an answer built on it, so removing the presupposition is what makes the comparison real.|Sound reasoning for a presupposed conclusion is still one-sided, and a follow-up patches one output rather than the question.
bias-and-framing|2.2|3|2|A team notices their outputs consistently favour whichever option the prompt lists first.|Vary the order across several cases and compare|Establish whether order is driving the outcome at all|Always list the preferred option second from now on|Accept it, since the first option is often the best one|Instruct the model to disregard the order given|An order effect is cheap to test by reordering across cases, which is what distinguishes a real effect from a coincidence.|Exploiting the effect is not correcting it, coincidence is the hypothesis being tested, and an instruction to ignore order is not a test.
bias-and-framing|2.2|4|2|A team's analysis is even-handed and every example it uses supports one side.|Selection of examples is where the framing sits|A balanced argument can still lead the reader|Accept it, since the argument itself is balanced|Add more examples until the balance is restored|Remove the examples so the argument stands alone|Illustration carries as much persuasive weight as argument, so an evenly argued piece with one-sided examples still steers its reader.|Argumentative balance is what disguises it, adding examples without examining the selection repeats it, and removing them loses the illustration.
completeness-gaps|2.1|2|2|A summary of a policy is accurate and leaves out the section on exceptions.|Ask specifically about the exceptions that were omitted|Recognise accuracy and completeness as different properties|Accept it, since everything it does say is accurate|Ask for a longer summary covering more of the document|Read the whole policy instead of using any summary|A summary can be entirely accurate and still omit the part that changes the answer, so the missing category has to be asked for by name.|A longer summary may omit the same section, and abandoning summarisation discards its value entirely.
completeness-gaps|2.1|3|2|A team asks for the downsides of a proposal and every item listed is a way it could fail.|Ask about the case where the plan simply succeeds|A failure-focused frame will not produce that case|Accept it, since a risk list should cover risks|Ask for a longer and more thorough list of risks|Add the success case to the list by hand afterwards|Some real risks are not failures — a plan succeeding and proving unnecessary is one — and a list framed around failure will never surface them.|A longer list extends the same frame, and adding it manually fixes one document rather than the prompt.
completeness-gaps|2.1|4|2|A team's answer is complete for the question asked and the question asked was wrong.|Fix the question, since the answer cannot exceed it|Recognise this as a failure of framing, not execution|Accept the answer, since it did address the question|Ask a supplementary question to cover the difference|Ask for a broader answer to the original question|An output is bounded by the question behind it, so a well-executed answer to the wrong question is a framing problem.|Literal correctness is what hides the failure, a supplement bolts onto a wrong frame, and breadth does not correct direction.
numerical-accuracy|2.1|2|2|A report says a metric improved by a third and does not say what it improved from.|Ask for the base figure the percentage is taken from|A percentage change is uninterpretable without its base|Use it, since the direction of change is clear enough|Assume the base is the earlier of the two figures|Recalculate the percentage from the team's own figures|The base defines what the percentage means, so without it the number cannot be interpreted, let alone checked.|Direction is not magnitude, an assumed base can invert the meaning, and recalculating from other figures answers a different question.
numerical-accuracy|2.1|3|2|A supplier summary's totals all reconcile with each other and none match the team's ledger.|Internal consistency is not the same as correctness|Find which of the two sets is wrong before using either|Use the team's records, since those are authoritative|Use the output's figures, since they are self-consistent|Report both sets and note that the two disagree|A self-consistent set of numbers can be uniformly wrong, so the disagreement is a question to resolve rather than a preference to exercise.|Assuming the records are right skips the check, and publishing both hands an unresolved contradiction to the reader.
numerical-accuracy|2.1|4|2|Every number in a recommendation checks out and the recommendation itself does not follow.|Check the reasoning, since the arithmetic already passed|The fault lies between the figures and the conclusion|Recheck the figures, since the conclusion is wrong|Accept the conclusion, since the figures support it|Ask for the conclusion to be restated more carefully|Correct inputs with a wrong output isolate the fault to the step between them, which is where the checking effort belongs.|Rechecking verified figures repeats work, assuming support is the error, and restating a wrong conclusion does not correct it.
review-workflow|2.4|2|2|A team's reviewer reads each output from start to finish and approves nearly all of them.|Check against named criteria rather than reading through|Look at what has slipped past the review so far|Read each output twice so that less is missed|Add a second reviewer to increase the scrutiny|Accept it, since a high approval rate is reassuring|Fluent text invites confirmation, so a review becomes a control when it checks specific things and when its escapes are examined.|Reading twice and adding readers repeat the same vulnerable process, and a high approval rate is consistent with a useless check.
quality-criteria|2.4|3|2|A team wants to reduce review effort without losing the protection it provides.|Reduce it where an error would be caught downstream|Keep it where a missed error would reach a customer|Reduce it uniformly across all of the team's work|Keep reviewing everything at exactly the same depth|Replace review with a check the model performs itself|Review is a cost paid against consequence, so it is relaxed where something else would catch the error and kept where nothing would.|Uniform reduction ignores which work is consequential, reviewing everything equally spends most effort where it matters least, and self-review is not independent.
review-workflow|2.4|4|2|A team's review catches the same category of error month after month.|Feed what the review catches back into the prompt|Treat a recurring catch as a fixable upstream problem|Keep reviewing, since the errors are being caught|Increase review effort so they are caught sooner|Accept the recurrence as the cost of using the tool|A review that repeatedly catches one thing is describing a defect upstream, and closing that loop is what stops paying for the catch forever.|Catching them indefinitely pays the cost indefinitely, more review scales the symptom, and acceptance normalises avoidable waste.
sampling-and-evidence|2.3|2|2|A team reports a 90% accuracy figure measured on twenty test cases.|Report the sample size alongside the percentage|Recognise that twenty cases give a wide margin|Report 90%, since that is what the test produced|Round it to "about 90%" to avoid false precision|Withhold the figure until far more cases are tested|A percentage from a small sample carries a wide interval, so the sample size is part of the finding rather than a footnote.|A bare percentage implies certainty it does not have, rounding is cosmetic, and withholding discards real information.
self-evaluation-limits|2.4|2|2|A team asks Claude whether its own output followed every instruction in the prompt.|Check the output against the instructions yourself|Treat the reply as another output, not as a check|Accept the reply, since the instructions were explicit|Ask for the self-check to be repeated more carefully|Accept it if the reply identifies at least one miss|A self-assessment comes from the same process as the output, so it cannot serve as independent verification of that output.|Explicit instructions do not make a self-report reliable, repetition produces another self-report, and finding one miss does not validate the rest.
source-attribution|2.3|3|2|An associate's claim came from Claude, which drew it from a document the team holds.|Cite the document, since the claim originates there|Recognise the conversation as a route, not a source|Cite Claude, since that is where they encountered it|Cite both the document and the conversation together|Cite nothing, since the claim is now the team's own|A citation points a reader at something they can check, which is the document rather than the conversation that surfaced it.|Citing the tool records the route, citing both adds noise, and citing nothing removes the provenance entirely.
